multi_pill,previous_cve,location,mean_value,sd_value
0,0,brazil,0.55,0.11
0,0,china,0.49,0.10
0,0,france,0.66,0.14
0,0,italy,0.43,0.09
0,0,russian_federation,0.38,0.08
0,0,spain,0.70,0.15
1,0,brazil,0.29,0.06
1,0,china,0.23,0.05
1,0,france,0.40,0.09
1,0,italy,0.17,0.04
1,0,russian_federation,0.12,0.03
1,0,spain,0.44,0.09
0,1,brazil,0.67,0.14
0,1,china,0.62,0.13
0,1,france,0.79,0.17
0,1,italy,0.56,0.12
0,1,russian_federation,0.51,0.11
0,1,spain,0.82,0.18
1,1,brazil,0.41,0.09
1,1,china,0.36,0.08
1,1,france,0.53,0.11
1,1,italy,0.30,0.06
1,1,russian_federation,0.25,0.05
1,1,spain,0.57,0.12
