location,scenario,current_treatment,next_treatment,value
Brazil,baseline,ezetimibe,ezetimibe,0.84
Brazil,baseline,ezetimibe,fibrates,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_fdc,0
Brazil,baseline,ezetimibe,high_potency_statin_low_dose_multi,0
Brazil,baseline,ezetimibe,lifestyle_intervention,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_fdc,0
Brazil,baseline,ezetimibe,low_potency_statin_high_dose_multi,0
Brazil,baseline,ezetimibe,low_potency_statin_low_dose,0.053799126637555
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_fdc,0.058593585303418
Brazil,baseline,ezetimibe,low_potency_statin_low_dose_multi,0.047607288059027
Brazil,baseline,ezetimibe,none,0
Brazil,baseline,fibrates,ezetimibe,0.033837297853599
Brazil,baseline,fibrates,fibrates,0.84
Brazil,baseline,fibrates,high_potency_statin_high_dose,0
Brazil,baseline,fibrates,high_potency_statin_high_dose_fdc,0
Brazil,baseline,fibrates,high_potency_statin_high_dose_multi,0
Brazil,baseline,fibrates,high_potency_statin_low_dose,0
Brazil,baseline,fibrates,high_potency_statin_low_dose_fdc,0
Brazil,baseline,fibrates,high_potency_statin_low_dose_multi,0
Brazil,baseline,fibrates,lifestyle_intervention,0
Brazil,baseline,fibrates,low_potency_statin_high_dose,0
Brazil,baseline,fibrates,low_potency_statin_high_dose_fdc,0
Brazil,baseline,fibrates,low_potency_statin_high_dose_multi,0
Brazil,baseline,fibrates,low_potency_statin_low_dose,0.126162702146401
Brazil,baseline,fibrates,low_potency_statin_low_dose_fdc,0
Brazil,baseline,fibrates,low_potency_statin_low_dose_multi,0
Brazil,baseline,fibrates,none,0
Brazil,baseline,high_potency_statin_high_dose,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose,fibrates,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose,0.84
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_fdc,0.088275862068966
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_high_dose_multi,0.071724137931035
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,high_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,lifestyle_intervention,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose,low_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose,none,0
Brazil,baseline,high_potency_statin_high_dose_fdc,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose_fdc,fibrates,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_fdc,1
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,high_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,lifestyle_intervention,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_high_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_fdc,low_potency_statin_low_dose_multi,0
Brazil,baseline,high_potency_statin_high_dose_fdc,none,0
Brazil,baseline,high_potency_statin_high_dose_multi,ezetimibe,0
Brazil,baseline,high_potency_statin_high_dose_multi,fibrates,0
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_high_dose,0
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_high_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_high_dose_multi,1
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_low_dose,0
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_low_dose_fdc,0
Brazil,baseline,high_potency_statin_high_dose_multi,high_potency_statin_low_dose_multi,0
